position	originalpos	primaryprefix	altprefixes	localid	iri	resolvingns	humanhtml	homepage	description	title	registry
542	525	xhv			http://www.w3.org/1999/xhtml/vocab	http://www.w3.org/1999/xhtml/vocab#				XHTML Vocabulary	LOV
543	526	xkos			http://rdf-vocabulary.ddialliance.org/xkos	http://rdf-vocabulary.ddialliance.org/xkos#				XKOS	LOV
544	527	xsd			http://www.w3.org/2001/XMLSchema	http://www.w3.org/2001/XMLSchema#				XML Schema	LOV
545	528	zbwext			http://zbw.eu/namespaces/zbw-extensions	http://zbw.eu/namespaces/zbw-extensions/				ZBW Extensions	LOV
1	1	ICO								Informed Consent Ontology	Bioportal1
2	2	GEOSPECIES								GeoSpecies Ontology	Bioportal1
3	3	TEO								Time Event Ontology	Bioportal1
4	4	TMO								Translational Medicine Ontology	Bioportal1
5	5	OFSMR								Open Food Safety Model Repository	Bioportal1
6	6	MOOCCUADO								Molgula occulta Anatomy and Development Ontology	Bioportal1
7	7	HEIO								Regional Healthcare System Interoperability and Information Exchange Measurement Ontology	Bioportal1
8	8	IDO								Infectious Disease Ontology	Bioportal1
9	9	FB-CV								FlyBase Controlled Vocabulary	Bioportal1
10	10	NIFDYS								Neuroscience Information Framework (NIF) Dysfunction Ontlogy	Bioportal1
11	11	ONTOAD								Bilingual Ontology of Alzheimer's Disease and Related Diseases	Bioportal1
12	12	TMA								Tissue Microarray Ontology	Bioportal1
13	13	HIVO004								HIVOntologymain.owl	Bioportal1
14	14	SIO								Semanticscience Integrated Ontology	Bioportal1
15	15	PSIMOD								Protein Modification Ontology	Bioportal1
16	16	RPO								Resource of Asian Primary Immunodeficiency Diseases (RAPID) Phenotype Ontology	Bioportal1
17	17	BIRNLEX								Biomedical Informatics Research Network Project Lexicon	Bioportal1
18	18	PW								Pathway Ontology	Bioportal1
19	19	GBM								Glioblastoma	Bioportal1
20	20	OGSF								Ontology for Genetic Susceptibility Factor	Bioportal1
21	21	OBOREL								Open Biological and Biomedical Ontologies Relationship Types	Bioportal1
22	22	NCRO								Non-coding RNA Ontology	Bioportal1
23	23	MOOCCIADO								Molgula occidentalis Anatomy and Development Ontology	Bioportal1
24	24	PHENOMEBLAST								PhenomeBLAST Ontology	Bioportal1
25	25	OPL								Ontology for Parasite LifeCycle	Bioportal1
26	26	BP-METADATA								BioPortal Metadata Ontology	Bioportal1
27	27	EDDA								EDDA Study Designs and Publications	Bioportal1
28	28	AURA								KB_Bio_101	Bioportal1
29	29	GFO-BIO								General Formal Ontology for Biology	Bioportal1
30	30	FHHO								Family Health History Ontology	Bioportal1
31	31	ONTODM-KDD								Ontology of Data Mining Investigations	Bioportal1
32	32	OGMS								Ontology for General Medical Science	Bioportal1
33	33	BRO								Biomedical Resource Ontology	Bioportal1
34	34	APAONTO								Psychology Ontology	Bioportal1
35	35	TRANS								Nurse Transitional	Bioportal1
36	36	PTO								Plant Trait Ontology	Bioportal1
37	37	MEDO								Mouse Experimental Design Ontology	Bioportal1
38	38	GTO_TESTING								Genetic Testing	Bioportal1
39	39	COGAT								Cognitive Atlas Ontology	Bioportal1
40	40	HL7								"Health Level Seven Reference Implementation Model, Version 3"	Bioportal1
41	41	COGPO								Cognitive Paradigm Ontology	Bioportal1
42	42	AAO								Amphibian Gross Anatomy Ontology	Bioportal1
43	43	CANONT								Upper-Level Cancer Ontology 	Bioportal1
44	44	CCONT								Cell Culture Ontology	Bioportal1
45	45	ONTOKBCF								Ontological Knowledge Base Model for Cystic Fibrosis	Bioportal1
46	46	EPILONT								Epilepsy Ontology	Bioportal1
47	47	EFO								Experimental Factor Ontology	Bioportal1
48	48	TM-OTHER-FACTORS								Traditional Medicine Other Factors Value Set	Bioportal1
49	49	RB								RegenBase ontology	Bioportal1
50	50	APADISORDERS								Disorders cluster	Bioportal1
51	51	GENE-CDS								Genomic Clinical Decision Support Ontology	Bioportal1
52	52	ICF								"International Classification of Functioning, Disability and Health"	Bioportal1
53	53	LHN								Loggerhead Nesting Ontology	Bioportal1
54	54	PEO								Parasite Experiment Ontology	Bioportal1
55	55	GTO								Genetic Test	Bioportal1
56	56	VARIO								Variation Ontology	Bioportal1
57	57	OGMD								Ontology of Glucose Metabolism Disorder	Bioportal1
58	58	OCRE								Ontology of Clinical Research	Bioportal1
59	59	TM-SIGNS-AND-SYMPTS								Traditional Medicine Signs and Symptoms Value Set	Bioportal1
60	60	LEGALAPATEST2								apalegal	Bioportal1
61	61	FIRE								Fire Ontology	Bioportal1
62	62	NTDO								Neglected Tropical Disease Ontology	Bioportal1
63	63	PHMAMMADO								Phallusia mammillata Anatomy and Development Ontology	Bioportal1
64	64	GLYCO								Glycomics Ontology	Bioportal1
65	65	SCHEMA								schema.org	Bioportal1
66	66	RCTONT								Randomized Controlled Trials Ontology	Bioportal1
67	67	OPB								Ontology of Physics for Biology	Bioportal1
68	68	PAE								Plant Anatomy	Bioportal1
69	69	HIV								HIV ontology	Bioportal1
70	70	MWLA								Medical Web Lifestyle Aggregator	Bioportal1
71	71	APASTATISTICAL								APA Statistical Cluster	Bioportal1
72	72	SPD								Spider Ontology	Bioportal1
73	73	CANCO								Cancer Chemoprevention Ontology	Bioportal1
74	74	OMRSE								Ontology of Medically Related Social Entities	Bioportal1
75	75	TRAK								Taxonomy for Rehabilitation of Knee Conditions	Bioportal1
76	76	DDI								Ontology for Drug Discovery Investigations	Bioportal1
77	77	MEDDRA								Medical Dictionary for Regulatory Activities	Bioportal1
78	78	GMM								GoMapMan	Bioportal1
79	79	SITBAC								Situation-Based Access Control Ontology	Bioportal1
80	80	REX								Physico-Chemical Process	Bioportal1
81	81	NMR								NMR-Instrument Component of Metabolomics Investigations Ontology	Bioportal1
82	82	FALL								MyOntoServiceFull_FallDetection	Bioportal1
83	83	TOP-MENELAS								Menelas Project Top-Level Ontology	Bioportal1
84	84	CDAO								Comparative Data Analysis Ontology	Bioportal1
85	85	BHN								Biologie Hors Nomenclature	Bioportal1
86	86	TGMA								Mosquito Gross Anatomy Ontology	Bioportal1
87	87	PHFUMIADO								Phallusia fumigata Anatomy and Development Ontology	Bioportal1
88	88	ROO								Radiation Oncology Ontology	Bioportal1
89	89	NLMVS								NIH NLM Value Sets	Bioportal1
90	90	IXNO								Interaction Ontology	Bioportal1
91	91	ONTOTOXNUC								Ontology of Nuclear Toxicity	Bioportal1
92	92	CADSRVS								NCI caDSR Value Sets	Bioportal1
93	93	NDDF								National Drug Data File	Bioportal1
94	94	FLU								Influenza Ontology	Bioportal1
95	95	MEO								Metagenome and Microbes Environmental Ontology	Bioportal1
96	96	ICD9CM								"International Classification of Diseases, Version 9 - Clinical Modification"	Bioportal1
97	97	CU-VO								Venom Ontology	Bioportal1
98	98	CCON								Cerrado concepts and plant community dynamics	Bioportal1
99	99	HAROREADO								Halocynthia roretzi Anatomy and Development Ontology	Bioportal1
100	100	ICNP								International Classification for Nursing Practice	Bioportal1
101	101	PR								Protein Ontology	Bioportal1
102	102	IGTO								Scientific Evidence Based Genetic Testing Ontology	Bioportal1
103	103	CISAVIADO								 Ciona savignyi Anatomy and Development Ontology 	Bioportal1
104	104	BIOMODELS								BioModels Ontology	Bioportal1
105	105	BDO								Bone Dysplasia Ontology	Bioportal1
106	106	BAO-GPCR								G Protein-Coupled Receptor BioAssays Ontology	Bioportal1
107	107	NIHSS								National Institutes of Health Stroke Scale Ontology	Bioportal1
108	108	OBIWS								Bioinformatics Web Service Ontology	Bioportal1
109	109	ATC								Anatomical Therapeutic Chemical Classification	Bioportal1
110	110	MAT								Minimal Anatomical Terminology	Bioportal1
111	111	ANCESTRO								Ancestry Ontology	Bioportal1
112	112	MSTDE-FRE								"Minimal Standard Terminology of Digestive Endoscopy, French"	Bioportal1
113	113	TM-CONST								Traditional Medicine Constitution Value Set	Bioportal1
114	114	PMR								Physical Medicine and Rehabilitation	Bioportal1
115	115	SSE								Surgical Secondary Events	Bioportal1
116	116	CHEBI								Chemical Entities of Biological Interest Ontology	Bioportal1
117	117	BMT								Biomedical Topics	Bioportal1
118	118	OBIB								Ontology for Biobanking	Bioportal1
119	119	FAO								Fungal Gross Anatomy Ontology	Bioportal1
120	120	QUDT								"Quantities, Units, Dimensions, and Types Ontology"	Bioportal1
121	121	ONTODM-CORE								Ontology of Core Data Mining Entities	Bioportal1
122	122	RNRMU								RNRMU	Bioportal1
123	123	BCO								Biological Collections Ontology	Bioportal1
124	124	MMO								Measurement Method Ontology	Bioportal1
125	125	TADS								Tick Gross Anatomy Ontology	Bioportal1
126	126	DCM								DICOM Controlled Terminology	Bioportal1
127	127	PATHLEX								Anatomic Pathology Lexicon	Bioportal1
128	128	XAO								Xenopus Anatomy and Development Ontology	Bioportal1
129	129	ERO								Eagle-I Research Resource Ontology	Bioportal1
130	130	WB-PHENOTYPE								C. elegans Phenotype Vocabulary	Bioportal1
131	131	EDAM								"EDAM bioinformatics operations, data types, formats, identifiers and topics"	Bioportal1
132	132	GEXO								Gene Expression Ontology	Bioportal1
133	133	CNO								Computational Neuroscience Ontology	Bioportal1
134	134	ASDPTO								Autism Spectrum Disorder Phenotype Ontology	Bioportal1
135	135	TYPON								Microbial Typing Ontology	Bioportal1
136	136	CHEMINF								Chemical Information Ontology	Bioportal1
137	137	GFO								General Formal Ontology	Bioportal1
138	138	FBbi								Biological Imaging Methods Ontology	Bioportal1
139	139	RS								Rat Strain Ontology	Bioportal1
140	140	DOID								Human Disease Ontology	Bioportal1
141	141	CAO								Clusters of Orthologous Groups (COG) Analysis Ontology	Bioportal1
142	142	EHDA								"Human Developmental Anatomy Ontology, timed version"	Bioportal1
143	143	SD3								Simulation Delivery and Documentation Deviations	Bioportal1
144	144	CHD								Congenital Heart Defects Ontology	Bioportal1
145	145	NGSONTO								NGS ontology	Bioportal1
146	146	MIXSCV								Minimal Information about any Sequence (MIxS) Controlled Vocabularies	Bioportal1
147	147	OAE								Ontology of Adverse Events	Bioportal1
148	148	ICPC2P								International Classification of Primary Care - 2 PLUS	Bioportal1
149	149	RSA								Reference Sequence Annotation	Bioportal1
150	150	PHARMGKB								PharmGKB Ontology	Bioportal1
151	151	PHARE								Pharmacogenomic Relationships Ontology	Bioportal1
152	152	APAEDUCLUSTER								Educational Cluster	Bioportal1
153	153	XEO								XEML Environment Ontology	Bioportal1
154	154	RH-MESH								Robert Hoehndorf Version of MeSH	Bioportal1
155	155	TRON								Tribolium Ontology	Bioportal1
156	156	GRO-CPGA								Cereal Plant Gross Anatomy Ontology	Bioportal1
157	157	HUGO								Human Genome Organization Gene Symbols	Bioportal1
158	158	AMINO-ACID								Amino Acid Ontology	Bioportal1
159	159	SPTO								Solanaceae Phenotype Ontology	Bioportal1
160	160	WHO-ART								World Health Organization (WHO) Adverse Reaction Terminology	Bioportal1
161	161	DCO-DEBUGIT								DebugIT Core Ontology	Bioportal1
162	162	BHO								Bleeding History Phenotype Ontology	Bioportal1
163	163	MP								Mammalian Phenotype Ontology	Bioportal1
164	164	ADMIN								Nurse Administrator	Bioportal1
165	165	CYTO								CYTOKINE	Bioportal1
166	166	BP								BioPAX Ontology of Biological Pathways	Bioportal1
167	167	MCCV								Microbial Culture Collection Vocabulary	Bioportal1
168	168	NCIT								National Cancer Institute Thesaurus	Bioportal1
169	169	AI-RHEUM								Artificial Intelligence Rheumatology Consultant System Ontology	Bioportal1
170	170	SURGICAL								Nurse Surgical	Bioportal1
171	171	MDDB								Master Drug Data Base Clinical Drugs	Bioportal1
172	172	LPT								Livestock Product Trait Ontology	Bioportal1
173	173	EOL								Environment Ontology for Livestock	Bioportal1
174	174	COSTART								Coding Symbols for a Thesaurus of Adverse Reaction Terms	Bioportal1
175	175	BCTTV1								Behaviour change technique taxonomy	Bioportal1
176	176	SPO								Skin Physiology Ontology	Bioportal1
177	177	PEAO								Plant Experimental Assay Ontology	Bioportal1
178	178	MO								Microarray and Gene Expression Data Ontology	Bioportal1
179	179	NONRCTO								Non-Randomized Controlled Trials Ontology	Bioportal1
180	180	OntoVIP								Medical image simulation	Bioportal1
181	181	ADO								Alzheimer's disease ontology	Bioportal1
182	182	CARRE								CARRE Risk Factor ontology	Bioportal1
183	183	REXO								Regulation of Gene Expression Ontolology	Bioportal1
184	184	BCTEO								Bone and Cartilage Tissue Engineering Ontology	Bioportal1
185	185	IDODEN								Dengue Fever Ontology	Bioportal1
186	186	LOINC								Logical Observation Identifier Names and Codes	Bioportal1
187	187	OGDI								Ontology for Genetic Disease Investigations	Bioportal1
188	188	pseudo								Pseudogene	Bioportal1
189	189	NMOBR								NeuroMorpho.Org brain region ontologies	Bioportal1
190	190	MPATH								Mouse Pathology Ontology	Bioportal1
191	191	HUPSON								Human Physiology Simulation Ontology	Bioportal1
192	192	IMGT-ONTOLOGY								Immunogenetics Ontology	Bioportal1
193	193	IMMDIS								Immune Disorder Ontology	Bioportal1
194	194	OMIT								Ontology for MicroRNA Target	Bioportal1
195	195	MESH								Medical Subject Headings	Bioportal1
196	196	BIOMO								Biological Observation Matrix Ontology	Bioportal1
197	197	RNAO								RNA Ontology	Bioportal1
198	198	VO								Vaccine Ontology	Bioportal1
199	199	SEDI								Semantic DICOM Ontology	Bioportal1
200	200	CLO								Cell Line Ontology	Bioportal1
201	201	MCCL								Cell Line Ontology [by Mahadevan]	Bioportal1
202	202	OGR								Ontology of Geographical Region	Bioportal1
203	203	ZFA								Zebrafish Anatomy and Development Ontology	Bioportal1
204	204	HCPCS								Healthcare Common Procedure Coding System	Bioportal1
205	205	ICD10CM								"International Classification of Diseases, Version 10 - Clinical Modification"	Bioportal1
206	206	DIDEO								The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology	Bioportal1
207	207	FIX								Physico-Chemical Methods and Properties	Bioportal1
208	208	FB-DV								Drosophila Development Ontology	Bioportal1
209	209	GLYCORDF								GlycoRDF	Bioportal1
210	210	HAO								Hymenoptera Anatomy Ontology	Bioportal1
211	211	ICD10PCS								"International Classification of Diseases, Version 10 - Procedure Coding System"	Bioportal1
212	212	PSDS								Plant Structure Development Stage	Bioportal1
213	213	LIPRO								Lipid Ontology	Bioportal1
214	214	CMO								Clinical Measurement Ontology	Bioportal1
215	215	OVAE								Ontology of Vaccine Adverse Events	Bioportal1
216	216	MSV								Metagenome Sample Vocabulary	Bioportal1
217	217	ICD10								"International Classification of Diseases, Version 10"	Bioportal1
218	218	ENVO								Environment Ontology	Bioportal1
219	219	RXNORM								RxNORM	Bioportal1
220	220	CRISP								Computer Retrieval of Information on Scientific Projects Thesaurus	Bioportal1
221	221	BTO								BRENDA Tissue and Enzyme Source Ontology	Bioportal1
222	222	GRO								Gene Regulation Ontology	Bioportal1
223	223	HAAURAADO								Halocynthia aurantium Anatomy and Development Ontology	Bioportal1
224	224	CIINTEADO								Ciona intestinalis Anatomy and Development Ontology	Bioportal1
225	225	IDOMAL								Malaria Ontology	Bioportal1
226	226	CL								Cell Ontology	Bioportal1
227	227	TTO								Teleost Taxonomy Ontology	Bioportal1
228	228	CPTAC								CPTAC Proteomics Pipeline Infrastructure Ontology	Bioportal1
229	229	HINO								Human Interaction Network Ontology	Bioportal1
230	230	TAXRANK								Taxonomic Rank Vocabulary	Bioportal1
231	231	VHOG								Vertebrate Homologous Organ Group Ontology	Bioportal1
232	232	CABRO								Computer Assisted Brain Injury Rehabilitation Ontology	Bioportal1
233	233	WSIO								Web-Service Interaction Ontology	Bioportal1
234	234	HRDO								Disease core ontology applied to Rare Diseases	Bioportal1
235	235	PATO								Phenotypic Quality Ontology	Bioportal1
236	236	CTCAE								Common Terminology Criteria for Adverse Events	Bioportal1
237	237	APO								Ascomycete Phenotype Ontology	Bioportal1
238	238	NCBITAXON								National Center for Biotechnology Information (NCBI) Organismal Classification	Bioportal1
239	239	PPIO								Protein-Protein Interaction Ontology	Bioportal1
240	240	NIFSUBCELL								Neuroscience Information Framework (NIF) Subcellular Ontology	Bioportal1
241	241	BRCT								Brain Region & Cell Type terminology	Bioportal1
242	242	TRIAGE								Nurse triage	Bioportal1
243	243	WIKIPATHWAYS								WikiPathways	Bioportal1
244	244	INFECTION								HAI	Bioportal1
245	245	MSTDE								Minimal Standard Terminology of Digestive Endoscopy	Bioportal1
246	246	SNOMEDCT								Systematized Nomenclature of Medicine - Clinical Terms	Bioportal1
247	247	ONTODT								Ontology of Datatypes	Bioportal1
248	248	NIFSTD								Neuroscience Information Framework (NIF) Standard Ontology	Bioportal1
249	249	SOY								Soy Ontology	Bioportal1
250	250	LDA								Ontology of Language Disorder in Autism	Bioportal1
251	251	NEUMORE								Neural Motor Recovery Ontology	Bioportal1
252	252	SWO								Software Ontology	Bioportal1
253	253	OBCS								Ontology of Biological and Clinical Statistics	Bioportal1
254	254	MEGO								Mobile Genetic Element Ontology	Bioportal1
255	255	MIRNAO								MicroRNA Ontology	Bioportal1
256	256	FB-SP								Fly Taxonomy	Bioportal1
257	257	RADLEX								Radiology Lexicon	Bioportal1
258	258	IDQA								Image and Data Quality Assessment Ontology	Bioportal1
259	259	GALEN								Galen Ontology	Bioportal1
260	260	NHSQI2009								NHS Quality Indicators	Bioportal1
261	261	OGG								Ontology of Genes and Genomes	Bioportal1
262	262	BRIDG								Biomedical Research Integrated Domain Group Model	Bioportal1
263	263	ICD11-BODYSYSTEM								Body System Terms from ICD11	Bioportal1
264	264	VIVO								VIVO Ontology for Researcher Discovery	Bioportal1
265	265	AERO								Adverse Event Reporting Ontology	Bioportal1
266	266	SBO								Systems Biology Ontology	Bioportal1
267	267	EHDAA								"Human Developmental Anatomy Ontology, abstract version 1"	Bioportal1
268	268	CCO								Cell Cycle Ontology	Bioportal1
269	269	ONLIRA								Ontology of Liver for Radiology	Bioportal1
270	270	GAZ								Gazetteer	Bioportal1
271	271	VT								Vertebrate Trait Ontology	Bioportal1
272	272	ZEA								Maize Gross Anatomy Ontology	Bioportal1
273	273	SMASH								SMASH Ontology	Bioportal1
274	274	PLIO								Protein-ligand interaction ontology	Bioportal1
275	275	OGI								Ontology for Genetic Interval	Bioportal1
276	276	CO								Crop Ontology	Bioportal1
277	277	ICECI								International Classification of  External Causes of Injuries	Bioportal1
278	278	ONTOPNEUMO								Ontology of Pneumology	Bioportal1
279	279	PROVO								Provenance Ontology	Bioportal1
280	280	RCD								"Read Codes, Clinical Terms Version 3 (CTV3) "	Bioportal1
281	281	UO								Units of Measurement Ontology	Bioportal1
282	282	PDON								Parkinson's Disease Ontology	Bioportal1
283	283	BCGO								Breast Cancer Grading Ontology	Bioportal1
284	284	NEOMARK3								"Neomark Oral Cancer Ontology, version 3"	Bioportal1
285	285	ADAR								Autism DSM-ADI-R ontology	Bioportal1
286	286	IDOBRU								Brucellosis Ontology	Bioportal1
287	287	MCBCC								Breast Tissue Cell Lines Ontology	Bioportal1
288	288	FO								Fern Ontology	Bioportal1
289	289	ROLEO								Role Ontology	Bioportal1
290	290	ONL-MR-DA								Magnetic Resonance Dataset Acquisition Ontology	Bioportal1
291	291	DERMLEX								Dermatology Lexicon	Bioportal1
292	292	ODNAE								Ontology of Drug Neuropathy Adverse Events	Bioportal1
293	293	InterNano								InterNano Nanomanufacturing Taxonomy	Bioportal1
294	294	STY								Semantic Types Ontology	Bioportal1
295	295	BT								BioTop Ontology	Bioportal1
296	296	ONTOMA								"Ontology of Alternative Medicine, French"	Bioportal1
297	297	EMAP								Mouse Gross Anatomy and Development Ontology	Bioportal1
298	298	CSEO								Cigarette Smoke Exposure Ontology	Bioportal1
299	299	MS								Mass Spectrometry Ontology	Bioportal1
300	300	STUFF								Stuff Ontology	Bioportal1
301	301	DIKB								Drug Interaction Knowledge Base Ontology	Bioportal1
302	302	FYPO								Fission Yeast Phenotype Ontology	Bioportal1
303	303	CMPO								Cellular microscopy phenotype ontology	Bioportal1
304	304	EMO								Enzyme Mechanism Ontology	Bioportal1
305	305	SHR								Student Health Record Ontology	Bioportal1
306	306	ONSTR								Ontology for Newborn Screening Follow-up and Translational Research	Bioportal1
307	307	VICO								Vaccination Informed Consent Ontology	Bioportal1
308	308	MF								Mental Functioning Ontology	Bioportal1
309	309	MERA								Medical Educational Resource Aggregator	Bioportal1
310	310	GFVO								Genomic Feature and Variation Ontology	Bioportal1
311	311	XCO								Experimental Conditions Ontology	Bioportal1
312	312	VTO								Vertebrate Taxonomy Ontology	Bioportal1
313	313	WB-BT								C. elegans Gross Anatomy Vocabulary	Bioportal1
314	314	PMA								Portfolio Management Application	Bioportal1
315	315	SBOL								Synthetic Biology Open Language Visual Ontology	Bioportal1
316	316	SAO								Subcellular Anatomy Ontology	Bioportal1
317	317	NEMO								Neural ElectroMagnetic Ontology	Bioportal1
318	318	PTRANS								Pathogen Transmission Ontology	Bioportal1
319	319	CARO								Common Anatomy Reference Ontology	Bioportal1
320	320	UNITSONT								Units Ontology	Bioportal1
321	321	NEOMARK4								"Neomark Oral Cancer Ontology, version 4"	Bioportal1
322	322	NIGO								Neural-Immune Gene Ontology	Bioportal1
323	323	OBOE-SBC								Santa Barbara Coastal Observation Ontology	Bioportal1
324	324	ORTHO								Ortholog Ontology	Bioportal1
325	325	APACOMPUTER								Computer Cluster	Bioportal1
326	326	REPO								Reproductive Trait and Phenotype Ontology	Bioportal1
327	327	FLOPO								Flora Phenotype Ontology	Bioportal1
328	328	APATREATMENT								APA Treatment Cluster	Bioportal1
329	329	BSAO								Botryllus schlosseri anatomy and development ontology	Bioportal1
330	330	VSO								Vital Sign Ontology	Bioportal1
331	331	HC								Habronattus Courtship Ontology	Bioportal1
332	332	OMIM								Online Mendelian Inheritance in Man	Bioportal1
333	333	CN								computer network	Bioportal1
334	334	VANDF								Veterans Health Administration National Drug File	Bioportal1
335	335	INO								Interaction Network Ontology	Bioportal1
336	336	DIAB								BioMedBridges Diabetes Ontology	Bioportal1
337	337	MAMO								Mathematical Modelling Ontology	Bioportal1
338	338	MSO								Multiple sclerosis ontology	Bioportal1
339	339	CSSO								Clinical Signs and Symptoms Ontology	Bioportal1
340	340	BIM								Biomedical Image Ontology	Bioportal1
341	341	EP								Cardiac Electrophysiology Ontology	Bioportal1
342	342	SSO								Syndromic Surveillance Ontology	Bioportal1
343	343	ATO								Amphibian Taxonomy Ontology	Bioportal1
344	344	UBERON								Uber Anatomy Ontology	Bioportal1
345	345	MFOEM								Emotion Ontology	Bioportal1
346	346	ONTOLURGENCES								Emergency care ontology	Bioportal1
347	347	ACGT-MO								Cancer Research and Management ACGT Master Ontology	Bioportal1
348	348	TOK								Terminological and Ontological Knowledge Resources Ontology	Bioportal1
349	349	MIXS								Minimal Information about any Sequence Ontology	Bioportal1
350	350	MFO								Medaka Fish Anatomy and Development Ontology	Bioportal1
351	351	ELIG								Eligibility Feature Hierarchy	Bioportal1
352	352	OGG-MM								Ontology of Genes and Genomes - Mouse	Bioportal1
353	353	STATO								Statistics Ontology	Bioportal1
354	354	PTS								Pathway Terminology System	Bioportal1
355	355	CHMO								Chemical Methods Ontology	Bioportal1
356	356	ECO								Evidence Ontology	Bioportal1
357	357	EO								Ethnicity Ontoloy	Bioportal1
358	358	PDO								Pathogenic Disease Ontology	Bioportal1
359	359	DOCCC								Diagnosis Ontology of Clinical Care Classification	Bioportal1
360	360	CPT								Current Procedural Terminology	Bioportal1
361	361	ONL-DP								Dataset processing	Bioportal1
362	362	APATANDT								APA Tests and Testing cluster	Bioportal1
363	363	SYN								Sage Bionetworks Synapse Ontology	Bioportal1
364	364	LEGALAPA								legalapa	Bioportal1
365	365	SEP								Sample Processing and Separation Techniques Ontology	Bioportal1
366	366	APAOCUEMPLOY								APA Occupational and Employment cluster	Bioportal1
367	367	EHDAA2								"Human Developmental Anatomy Ontology, abstract version 2"	Bioportal1
368	368	AEO								Anatomical Entity Ontology	Bioportal1
369	369	PIERO								Enzyme Reaction Ontology for annotating Partial Information of chemical transformation	Bioportal1
370	370	ORDO								Orphanet Rare Disease Ontology	Bioportal1
371	371	RETO								Regulation of Transcription Ontology	Bioportal1
372	372	IAO								Information Artifact Ontology	Bioportal1
373	373	ADW								Animal Natural History and Life History Ontology	Bioportal1
374	374	OPE								Ontology of Physical Exercises	Bioportal1
375	375	KISAO								Kinetic Simulation Algorithm Ontology	Bioportal1
376	376	DINTO								The Drug-Drug Interactions Ontology	Bioportal1
377	377	NPO								NanoParticle Ontology	Bioportal1
378	378	PVONTO								Pharmacovigilance Ontology	Bioportal1
379	379	HP								Human Phenotype Ontology	Bioportal1
380	380	CTX								Cerebrotendinous Xanthomatosis Ontology	Bioportal1
381	381	PLOSTHES								PLOS Thesaurus	Bioportal1
382	382	RXNO								Name Reaction Ontology	Bioportal1
383	383	BSPO								Spatial Ontology	Bioportal1
384	384	ABA-AMB								Allen Brain Atlas (ABA) Adult Mouse Brain Ontology	Bioportal1
385	385	MIRO								Mosquito Insecticide Resistance Ontology	Bioportal1
386	386	BNO								Bionutrition Ontology	Bioportal1
387	387	GRO-CPD								Cereal Plant Development Ontology	Bioportal1
388	388	TM-MER								Traditional Medicine Meridian Value Sets	Bioportal1
389	389	CO-WHEAT								Wheat Trait Ontology 	Bioportal1
390	390	NIC								Nursing Interventions Classification	Bioportal1
391	391	ENM								eNanoMapper	Bioportal1
392	392	GMO								Growth Medium Onotology	Bioportal1
393	393	DIAGONT								Diagnostic Ontology	Bioportal1
394	394	SWEET								Semantic Web for Earth and Environment Technology Ontology	Bioportal1
395	395	SNPO								Single-Nucleotide Polymorphism (SNP) Ontology	Bioportal1
396	396	CTONT								Epoch Clinical Trial Ontology	Bioportal1
397	397	ATOL								Animal Trait Ontology for Livestock	Bioportal1
398	398	PORO								Porifera Ontology	Bioportal1
399	399	FMA								Foundational Model of Anatomy	Bioportal1
400	400	SYMP								Symptom Ontology	Bioportal1
401	401	CBO								Cell Behavior Ontology	Bioportal1
402	402	NMOSP								NeuroMorpho.Org species ontology	Bioportal1
403	403	TEDDY								Terminology for the Description of Dynamics	Bioportal1
404	404	EXO								Exposure Ontology	Bioportal1
405	405	CARELEX								Content Archive Resource Exchange Lexicon	Bioportal1
406	406	HPIO								Host Pathogen Interactions Ontology	Bioportal1
407	407	BAO								BioAssay Ontology	Bioportal1
408	408	MA								Mouse Adult Gross Anatomy Ontology	Bioportal1
409	409	MIM								Molecular Interaction Map	Bioportal1
410	410	RNPRIO								Research Network and Patient Registry Inventory Ontology	Bioportal1
411	411	CPRO								Computer-Based Patient Record Ontology	Bioportal1
412	412	GO-PLUS								go-plus	Bioportal1
413	413	ICPS								International Classification for Patient Safety	Bioportal1
414	414	suicideo								suicideonto	Bioportal1
415	415	NIFCELL								Neuroscience Information Framework (NIF) Cell Ontology	Bioportal1
416	416	PP								Pipeline Patterns Ontology	Bioportal1
417	417	GPML								Graphical Pathway Markup Language	Bioportal1
418	418	CHEMBIO								Systems Chemical Biology and Chemogenomics Ontology 	Bioportal1
419	419	MOOCULADO								Molgula oculata Anatomy and Development Ontology	Bioportal1
420	420	EXACT								An ontology for experimental actions	Bioportal1
421	421	TAO								Teleost Anatomy Ontology	Bioportal1
422	422	VSAO								Vertebrate Skeletal Anatomy Ontology	Bioportal1
423	423	OBI_BCGO								Beta Cell Genomics Ontology	Bioportal1
424	424	SP								SMART Protocols	Bioportal1
425	425	ECP								Electronic Care Plan	Bioportal1
426	426	CSO								Clinical Study Ontology	Bioportal1
427	427	WB-LS								C. elegans Development Vocabulary	Bioportal1
428	428	DCO								Dispedia Core Ontology	Bioportal1
429	429	PROPREO								Proteomics Data and Process Provenance Ontology	Bioportal1
430	430	PCO								Population and Community Ontology	Bioportal1
431	431	SOPHARM								Suggested Ontology for Pharmacogenomics	Bioportal1
432	432	MEDLINEPLUS								MedlinePlus Health Topics	Bioportal1
433	433	HOM								Ontology of Homology and Related Concepts in Biology	Bioportal1
434	434	NDFRT								National Drug File - Reference Terminology	Bioportal1
